source,id,title,filename,format,size_bytes,size_human,content_type,status,dimensions_db,phase,series,usage,url
"database","30001","Big Bang: Breath Aureole","works/bigbang/BB1.jpg","JPG","2847872","2.7MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB1.jpg"
"database","30002","Big Bang: Diagonal Thrust","works/bigbang/BB2.jpg","JPG","855339","835.3KB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB2.jpg"
"database","30003","Big Bang: Vertical Descent","works/bigbang/BB3.jpg","JPG","1931714","1.8MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB3.jpg"
"database","30004","Big Bang: Smoke Field","works/bigbang/BB4.jpg","JPG","3300554","3.1MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB4.jpg"
"database","30005","Big Bang: Diagonal Thrust Ii","works/bigbang/BB5.jpg","JPG","2974683","2.8MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB5.jpg"
"database","30006","Big Bang: Geological Core","works/bigbang/BB6.jpg","JPG","2351542","2.2MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB6.jpg"
"database","30007","Big Bang: Breath & Bone","works/bigbang/BB7.jpg","JPG","2341784","2.2MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB7.jpg"
"database","30008","Big Bang: Geological Core Ii","works/bigbang/BB8.jpg","JPG","2341471","2.2MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB8.jpg"
"database","30009","Big Bang: Cloud Mass","works/bigbang/BB9.jpg","JPG","2558263","2.4MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB9.jpg"
"database","30010","Big Bang: Shadow Self","works/bigbang/BB10.jpg","JPG","2382026","2.3MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Big Bang","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB10.jpg"
"database","30011","Thr3e (standing Bruise)","works/thr3e/THR3E.jpg","JPG","3077331","2.9MB","image/jpeg","HTTP 200","100cm × 100cm","NE","Thr3e","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/thr3e/THR3E.jpg"
"database","30012","Covenant I: Storm-body","works/covenant/COVTryptic2.jpg","JPG","3013718","2.9MB","image/jpeg","HTTP 200","100cm × 200cm","NE","Covenant","Works page - NE","https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/covenant/COVTryptic2.jpg"
