t_code,sovereign_id,ink,dimensions,surface_name,series_name,curatorial_hook,neon_reading,concept_tags,emotional_register,color_palette
T_001,666001,MB1; MB2; MB3; MC1,100x200cm,First Test Sheet,,,,,,
T_002,666002,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_003,666003,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_004,666004,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_005,666005,MC1; MC2; MC3,70x140cm,Water-Damaged Lot,,,,,,
T_006,666006,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_007,666007,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_008,666008,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_009,666009,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_010,666010,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_011,666011,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_012,666012,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_013,666013,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_014,666014,MB1; MB2; MB3; MC3; MC6; MC8,140x180cm,Tan Xi Special Pure,,,,,,
T_015,666015,MB1; MB2; MB3,140x180cm,Tan Xi Special Pure,,,,,,
T_016,666016,MB1; MB2; MB3; MC6; MC8,140x180cm,Tan Xi Special Pure,,,,,,
T_017,666017,MB1; MB2; MB3; MC7,70x140cm,Water-Damaged Lot,,,,,,
T_018,666018,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_019,666019,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_020,666020,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_021,666021,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_022,666022,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_023,666023,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_024,666024,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_025,666025,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_026,666026,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_027,666027,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_028,666028,MB1; MB2; MB3; MC7; MC8,50x100cm,Hongxing Fine Mulberry,,,,,,
T_029,666029,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_030,666030,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_031,666031,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_032,666032,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_033,666033,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_034,666034,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_035,666035,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_036,666036,MB1; MB2; MB3; MC8,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_037,666037,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_038,666038,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_039,666039,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_040,666040,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_041,666041,MB1; MB2; MB3; MC2,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_042,666042,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_043,666043,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_044,666044,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_045,666045,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_046,666046,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_047,666047,MB1; MB2; MB3; MC6,50x100cm,Hongxing Fine Mulberry,,,,,,
T_048,666048,MB2,50x100cm,Heavy Pulp Fiber,,,,,,
T_049,666049,MB1; MB2; MB3,50x100cm,Heavy Pulp Fiber,,,,,,
T_050,666050,MB1; MB3,50x100cm,Heavy Pulp Fiber,,,,,,
T_051,666051,MB1; MC6,50x100cm,Heavy Pulp Fiber,,,,,,
T_052,666052,MB1,50x100cm,Heavy Pulp Fiber,,,,,,
T_053,666053,MB2,50x100cm,Heavy Pulp Fiber,,,,,,
